# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	10596
#@/user_id	fwar34_sync
a 	啊	c=7 d=0.803193 t=10596
a li 	阿里	c=20 d=0.593167 t=10596
an 	按	c=1 d=0.0202419 t=10596
an jian 	按鍵	c=3 d=0.0825755 t=10596
an li 	按理	c=1 d=0.0153752 t=10596
an liu cheng 	按流程	c=1 d=0.0330412 t=10596
an pai 	安排	c=1 d=0.000599149 t=10596
an zhao 	按照	c=1 d=1.28779e-05 t=10596
an zhuang 	安裝	c=6 d=0.771052 t=10596
an zhuo 	安卓	c=2 d=0.400517 t=10596
ba 	吧	c=62 d=1.56774 t=10596
ba 	把	c=43 d=2.56968 t=10596
bai du 	百度	c=1 d=0.0177743 t=10596
ban 	半	c=0 d=0.0927743 t=10596
ban ban 	斑斑	c=1 d=0.0623495 t=10596
ban ben 	版本	c=30 d=1.50485 t=10596
ban re rong 	半熱容	c=1 d=0.932394 t=10596
ban tian 	半天	c=1 d=0.321422 t=10596
bang 	幫	c=21 d=0.839209 t=10596
bang ce shi le 	幫測試了	c=1 d=0.000497955 t=10596
bang ding 	綁定	c=7 d=1.74304 t=10596
bang fa xia 	幫發下	c=2 d=0.67368 t=10596
bang huan xia 	幫換下	c=1 d=0.293758 t=10596
bang kai 	幫開	c=1 d=4.6437e-06 t=10596
bang kai xia 	幫開下	c=1 d=3.31436e-09 t=10596
bang kan xia 	幫看下	c=1 d=0.516851 t=10596
bang mang 	幫忙	c=6 d=0.687592 t=10596
bang qu xia 	幫取下	c=1 d=9.16921e-10 t=10596
bang tie xia 	幫貼下	c=1 d=0.00301245 t=10596
bang wo 	幫我	c=2 d=0.631284 t=10596
bang zai 	幫在	c=1 d=0.272532 t=10596
bang zai 	綁在	c=1 d=0.16696 t=10596
bao 	包	c=26 d=1.45497 t=10596
bao 	報	c=4 d=0.0175989 t=10596
bao cuo 	報錯	c=2 d=0.372393 t=10596
bao han 	包含	c=3 d=0.00909537 t=10596
bao hu 	保護	c=1 d=1.1802e-08 t=10596
bao me 	包麼	c=1 d=0.436049 t=10596
bao sha 	報啥	c=1 d=4.72688e-09 t=10596
bao xian 	保險	c=1 d=0.00128115 t=10596
bao yong yun 	包勇雲	c=4 d=0.00398846 t=10596
bao zheng 	保證	c=2 d=0.288338 t=10596
bao zheng bu le 	保證不了	c=1 d=0.0107807 t=10596
bei 	被	c=13 d=0.491644 t=10596
bei fen 	備份	c=3 d=0.000407737 t=10596
bei hei 	被黑	c=1 d=0.628135 t=10596
bei jing 	北京	c=1 d=0.00657159 t=10596
bei ren 	被人	c=1 d=0.00697795 t=10596
bei zhu 	備註	c=1 d=0.005816 t=10596
bei zhu xia 	備註下	c=1 d=0.00571306 t=10596
ben di 	本地	c=6 d=0.0555241 t=10596
ben lai 	本來	c=3 d=0.154896 t=10596
beng kui 	崩潰	c=2 d=0.00726273 t=10596
bi jiao 	比較	c=7 d=0.663695 t=10596
bi jiao ji 	比較急	c=1 d=0.110251 t=10596
bi jiao xiang 	比較像	c=1 d=0.0349094 t=10596
bi ru 	比如	c=3 d=0.14053 t=10596
bi xian 	必先	c=1 d=0.571209 t=10596
bi xu 	必須	c=5 d=0.0808856 t=10596
bian 	編	c=0 d=0.000618889 t=10596
bian dong 	變動	c=3 d=0.000376347 t=10596
bian jie ma 	編解碼	c=4 d=0.0299142 t=10596
bian le 	變了	c=1 d=0.546074 t=10596
bian ma 	編碼	c=8 d=0.618917 t=10596
bian ma qi 	編碼器	c=2 d=0.0082795 t=10596
bian yi 	便宜	c=1 d=3.95844e-10 t=10596
bian yi 	編譯	c=2 d=1.06699e-09 t=10596
biao zhi 	標誌	c=4 d=0.00726181 t=10596
biao zhi 	標識	c=1 d=0.00189223 t=10596
bie 	別	c=5 d=0.123708 t=10596
bie de 	別的	c=2 d=0.0241131 t=10596
bie gai le 	別改了	c=1 d=0.447088 t=10596
bie ji 	別急	c=1 d=6.86098e-10 t=10596
bie ren 	別人	c=22 d=1.22497 t=10596
bu 	不	c=9 d=0.596527 t=10596
bu 	補	c=1 d=0.00447164 t=10596
bu bao han 	不包含	c=1 d=0.0675424 t=10596
bu chu lai 	不出來	c=5 d=0.513706 t=10596
bu cun zai 	不存在	c=1 d=0.000871757 t=10596
bu da 	不大	c=6 d=0.844314 t=10596
bu dai 	不帶	c=1 d=0.438235 t=10596
bu dao 	不到	c=5 d=0.923116 t=10596
bu deng yu 	不等於	c=1 d=3.04428e-09 t=10596
bu dui 	不對	c=13 d=1.70039 t=10596
bu fa song 	不發送	c=1 d=1.95524e-06 t=10596
bu fan hui 	不返回	c=1 d=0.159614 t=10596
bu fang bian 	不方便	c=1 d=0.00463092 t=10596
bu gou 	不夠	c=1 d=0.00394621 t=10596
bu guan 	不管	c=3 d=0.961335 t=10596
bu guan le 	不管了	c=1 d=0.290835 t=10596
bu guan xin 	不關心	c=1 d=0.00680566 t=10596
bu guo 	不過	c=10 d=1.47997 t=10596
bu hao 	不好	c=0 d=1.82305e-07 t=10596
bu hao gai 	不好改	c=2 d=3.70139e-06 t=10596
bu hui 	不會	c=18 d=1.76724 t=10596
bu hui bian 	不會變	c=1 d=0.562705 t=10596
bu ji 	不急	c=1 d=0.147342 t=10596
bu ji huo 	不激活	c=1 d=0.000319102 t=10596
bu jia ban 	不加班	c=1 d=0.729789 t=10596
bu jia ru 	不加入	c=1 d=0.000953854 t=10596
bu ke neng 	不可能	c=1 d=0.000323925 t=10596
bu kong zhi 	不控制	c=3 d=0.064894 t=10596
bu le 	不了	c=0 d=0.00152222 t=10596
bu neng 	不能	c=17 d=1.08306 t=10596
bu qing chu 	不清楚	c=8 d=0.280924 t=10596
bu que ding 	不確定	c=1 d=0.00158052 t=10596
bu ren shi 	不認識	c=2 d=0.00112902 t=10596
bu rong he 	不融合	c=1 d=0.0130365 t=10596
bu ru hui 	不入會	c=1 d=0.000949097 t=10596
bu shang 	不上	c=1 d=1.20072e-05 t=10596
bu sheng ji 	不升級	c=1 d=0.574072 t=10596
bu shi 	不是	c=47 d=1.94017 t=10596
bu shi shuo 	不是說	c=1 d=2.98299e-05 t=10596
bu shu 	部署	c=0 d=0.0869358 t=10596
bu shu ge 	部署個	c=1 d=0.000224867 t=10596
bu shu le 	部署了	c=2 d=1.84902 t=10596
bu tai 	不太	c=10 d=1.14397 t=10596
bu tai da 	不太大	c=1 d=0.00790705 t=10596
bu tai dui 	不太對	c=1 d=0.0587185 t=10596
bu tai qing chu 	不太清楚	c=1 d=2.08151e-07 t=10596
bu ting 	不停	c=4 d=0.444216 t=10596
bu ting 	不聽	c=4 d=0.120032 t=10596
bu tong 	不通	c=1 d=1.99665e-08 t=10596
bu tong guo 	不通過	c=2 d=3.01911e-09 t=10596
